destination
{name:IAH}
{name:LGA}
{name:FAT}
{name:ABQ}
{name:ABQ}
{name:TUS}
{name:ABQ}
{name:SMF}
{name:DEN}
{name:EWR}
{name:ABQ}
{name:SMF}
{name:DEN}
{name:ABQ}
{name:BOS}
{name:IAD}
{name:TUS}
{name:FAT}
{name:SMF}
{name:DEN}
{name:FAT}
{name:ABQ}
{name:FAT}
{name:SMF}
{name:DEN}
{name:LAS}
{name:DEN}
{name:ABQ}
{name:EWR}
